"code","team","city","name","capacity","built","seat","lat","lon","lonlat","unique.team"
"CAN","Winnipeg Wesmen","Winnipeg","Duckworth Centre",2000,"-","all-seater",0,0,"0:0","winnipeg-wesmen"
"CAN","Portage Terriers","Portage/Prairie","Centennial Arena",1200,"-","all-seater",45.0782942,-64.4993116,"45.0782942:-64.4993116","portage-terriers"
"CAN","Multi-use","Saint John's","King George V",10000,"1925","all-seater",47.5775912,-52.7020330018309,"47.5775912:-52.7020330018309","multi-use"
"CAN","Swilers Rugby FC","Saint John's","Swilers Rugby Grounds",6500,"1988","4 000",NA,NA,"NA:NA","swilers-rugby-fc"
"CAN","Newfoundland Rock","Saint John's","Swilers Rugby Grounds",6500,"1988","4 000",0,0,"0:0","newfoundland-rock"
"CAN","St. John's IceCaps","Saint John's","Mile One Centre",6250,"2001","all-seater",47.5605091,-52.7134505,"47.5605091:-52.7134505","st-johns-icecaps"
"CAN","St. John's Shamrocks","Saint John's","St. Patrick's Ballpark",4500,"-","2 250",45.2734425,-66.0640124,"45.2734425:-66.0640124","st-johns-shamrocks"
"CAN","St. John's Caps","Saint John's","Memorial Stadium",4190,"1955","all-seater",32.7937413,-79.9558058,"32.7937413:-79.9558058","st-johns-caps"
"CAN","Soccer-use","Saint John's","Bowring Park",3500,"2001","-",41.37530745,-83.6290584040108,"41.37530745:-83.6290584040108","soccer-use"
"CAN","Multi-use","Corner Brook","Canada Games Centre",3100,"1999","all-seater",48.9416302,-57.9400251,"48.9416302:-57.9400251","multi-use"
"CAN","Memorial U. SeaHawks","Saint John's","Memorial U. Field House",3000,"-","all-seater",35.6485724,-77.367242,"35.6485724:-77.367242","memorial-u-seahawks"
"CAN","Memorial U. SeaHawks","Saint John's","Memorial U. Field House",3000,"-","all-seater",0,0,"0:0","memorial-u-seahawks"
"CAN","Multi-use","Saint John's","Canada Games Park",3000,"1976","all-seater",45.3046791,-66.0877804589781,"45.3046791:-66.0877804589781","multi-use"
"CAN","Star of the Sea","Saint John's","Brother Egan Park",3000,"1950","-",39.7278167,-84.2015332,"39.7278167:-84.2015332","star-of-the-sea"
"CAN","St. Bon's AA","Saint John's","St. Bon's Field",3000,"1858","-",30.161951,-91.7957679,"30.161951:-91.7957679","st-bons-aa"
"CAN","St. Patrick's AA","Saint John's","St. Pat's Field",2750,"-","-",47.56757295,-52.7106047788082,"47.56757295:-52.7106047788082","st-patricks-aa"
"CAN","Multi-use","Mount Pearl","Pearl Gate Complex",2600,"1986","all-seater",47.5024335,-52.7994789,"47.5024335:-52.7994789","multi-use"
"CAN","Vandals Rugby FC","Saint John's","Quidi Vidi Field",2500,"-","-",47.5737627,-52.6975668,"47.5737627:-52.6975668","vandals-rugby-fc"
"CAN","Stephenville Jets","Stephenville","Stephenville Dome",2400,"1999","all-seater",48.5600394,-58.5561981,"48.5600394:-58.5561981","stephenville-jets"
"CAN","Memorial U. SeaHawks","Saint John's","Memorial U. Field",2000,"-","-",42.906975,-84.472199,"42.906975:-84.472199","memorial-u-seahawks"
"CAN","Dogs Rugby FC","Mount Pearl","Smallwood Field",2000,"-","-",47.5071015,-52.8149353,"47.5071015:-52.8149353","dogs-rugby-fc"
"CAN","Feildians FC","Saint John's","Feildian Grounds",2000,"-","-",34.0454368,-117.158690123439,"34.0454368:-117.158690123439","feildians-fc"
"CAN","Holy Cross FC","Saint John's","Holy Cross Park",2000,"-","-",45.5806618,-122.722885981682,"45.5806618:-122.722885981682","holy-cross-fc"
"CAN","Mount Pearl Blades","Mount Pearl","Mount Pearl Glacier",1800,"-","all-seater",47.5071127,-52.818671333634,"47.5071127:-52.818671333634","mount-pearl-blades"
"CAN","Grand Falls Cataracts","Grand Falls","Joe Byrne Memorial Stadium",1750,"-","all-seater",48.9284162,-55.65810305,"48.9284162:-55.65810305","grand-falls-cataracts"
"CAN","Soccer-use","Saint John's","Torbay Rec. Centre",1700,"-","-",39.5969038,3.0381003,"39.5969038:3.0381003","soccer-use"
"CAN","Gander Flyers","Gander","Gander Center",1080,"-","all-seater",30.4737046,-81.6416025983562,"30.4737046:-81.6416025983562","gander-flyers"
"CAN","St. John's Celtics","Saint John's","Brother O'Hehir Arena",1000,"-","all-seater",47.56762245,-52.7152332178114,"47.56762245:-52.7152332178114","st-johns-celtics"
"CAN","Avalon Capitals","Saint John's","Prince of Wales Arena",1000,"-","all-seater",45.1994732,-66.2846592,"45.1994732:-66.2846592","avalon-capitals"
"CAN","Baymen Rugby FC","C. Bay South","Sgt. Ned Nugent Field",1000,"-","-",47.485343,-53.0107545,"47.485343:-53.0107545","baymen-rugby-fc"
"CAN","Guards FC","Saint John's","Ayre Athletic Grounds",1000,"-","-",47.5626846,-52.7230481606007,"47.5626846:-52.7230481606007","guards-fc"
"CAN","Saint John Sea Dogs","Saint John","Harbour Station",7200,"1993","all-seater",45.2764385,-66.0641119877049,"45.2764385:-66.0641119877049","saint-john-sea-dogs"
"CAN","Moncton Wildcats","Moncton","Moncton Coliseum",7001,"1973","all-seater",46.09579165,-64.82895878167,"46.09579165:-64.82895878167","moncton-wildcats"
"CAN","U.N.B. Seawolves","Saint John","Jeux Canada Games Stadium",5000,"1985","all-seater",45.3046791,-66.0877804589781,"45.3046791:-66.0877804589781","unb-seawolves"
"CAN","New Brunswick Schooners","Fredericton","Aitken University Centre",3800,"1976","-",45.94197055,-66.6418186544063,"45.94197055:-66.6418186544063","new-brunswick-schooners"
"CAN","Acadie-Bathurst Titan","Bathurst","K.C. Irving Regional Centre",3524,"1996","3 340",47.6287399,-65.6808463531631,"47.6287399:-65.6808463531631","acadie-bathurst-titan"
"CAN","Mount Allison Mounties","Sackville","MacAulay Field",2500,"-","-",45.8978187,-64.3732758,"45.8978187:-64.3732758","mount-allison-mounties"
"CAN","Campbellton Tigers","Campbellton","Memorial Civic Centre",2200,"-","-",44.6098696,-75.6998311,"44.6098696:-75.6998311","campbellton-tigers"
"CAN","N.B. Varsity Reds","Fredericton","Buchanan Field",1000,"-","-",37.9896,-122.0572,"37.9896:-122.0572","nb-varsity-reds"
"CAN","Halifax Rainmen","Halifax","Halifax Metro Centre",11093,"1970","all-seater",22.3242669,114.210441307515,"22.3242669:114.210441307515","halifax-rainmen"
"CAN","Halifax Mooseheads","Halifax","Halifax Metro Centre",10595,"1970","all-seater",0,0,"0:0","halifax-mooseheads"
"CAN","Saint Mary's Huskies","Halifax","Huskies Stadium",9000,"1970","all-seater",44.63112785,-63.5795339684288,"44.63112785:-63.5795339684288","saint-marys-huskies"
"CAN","Saint Mary's Huskies","Halifax","Huskies Stadium",9000,"1970","all-seater",0,0,"0:0","saint-marys-huskies"
"CAN","Halifax Wolverines","Halifax","Halifax Forum",5800,"1928","all-seater",44.6553403,-63.6042267975783,"44.6553403:-63.6042267975783","halifax-wolverines"
"CAN","C.B. Screaming Eagles","Sydney","Centre 200",4881,"1987","all-seater",-33.8687269,151.209349851457,"-33.8687269:151.209349851457","cb-screaming-eagles"
"CAN","St. Francis Xavier X-Men","Antigonish","Oland Centre",4000,"-","2 500",45.6167198,-61.9960158235061,"45.6167198:-61.9960158235061","st-francis-xavier-x-men"
"CAN","Acadia Axemen","Wolfville","Raymond Field",3000,"1966","all-seater",39.6617703,-75.7488483,"39.6617703:-75.7488483","acadia-axemen"
"CAN","Acadia Axemen","Wolfville","Raymond Field",3000,"1966","all-seater",0,0,"0:0","acadia-axemen"
"CAN","Dartmouth Destroyers","Halifax","Dartmouth Arena",3000,"-","all-seater",44.6786384,-63.572263,"44.6786384:-63.572263","dartmouth-destroyers"
"CAN","Saint Mary's Huskies","Halifax","Alumni Arena",3000,"-","all-seater",44.6323433,-63.5787093613613,"44.6323433:-63.5787093613613","saint-marys-huskies"
"CAN","Multi-use","Halifax","Exhibition Park",2850,"-","all-seater",44.6175113,-63.6651184132351,"44.6175113:-63.6651184132351","multi-use"
"CAN","Amherst Ramblers","Amherst","Amherst Stadium",2500,"1959","all-seater",42.37722885,-72.5359969745868,"42.37722885:-72.5359969745868","amherst-ramblers"
"CAN","St. Francis Xavier X-Men","Antigonish","Oland Centre",2400,"1966","all-seater",0,0,"0:0","st-francis-xavier-x-men"
"CAN","Windsor Royals","Windsor","Hants Exhibition Arena",2300,"1962","all-seater",NA,NA,"NA:NA","windsor-royals"
"CAN","St. Francis Xavier X-Men","Antigonish","Antigonish Arena",2290,"1970","all-seater",45.61659565,-62.0021676292275,"45.61659565:-62.0021676292275","st-francis-xavier-x-men"
"CAN","Yarmouth Mariners","Yarmouth","Mariners Centre",2250,"-","all-seater",52.5993813,1.72968459044266,"52.5993813:1.72968459044266","yarmouth-mariners"
"CAN","Truro Bearcats","Truro","Colchester Legion Stadium",2200,"-","-",45.36965055,-63.2799302743417,"45.36965055:-63.2799302743417","truro-bearcats"
"CAN","Acadia Axemen","Wolfville","War Memorial Gym",2200,"1919","all-seater",49.266796,-123.247634636603,"49.266796:-123.247634636603","acadia-axemen"
"CAN","Weeks Crushers","New Glasgow","J.B. MacDonald Stadium",2166,"-","all-seater",45.5871702,-62.6451191,"45.5871702:-62.6451191","weeks-crushers"
"CAN","St. Francis Xavier X-Men","Antigonish","C.V.K. Millennium Centre",2150,"1999","all-seater",45.6159708,-61.9967714,"45.6159708:-61.9967714","st-francis-xavier-x-men"
"CAN","Acadia Axemen","Wolfville","Acadia Arena",2000,"1988","-",45.0896821,-64.3608673,"45.0896821:-64.3608673","acadia-axemen"
"CAN","Dalhousie Tigers","Halifax","F.B.W. Memorial Field",2000,"-","all-seater",42.0428875,-70.8703381,"42.0428875:-70.8703381","dalhousie-tigers"
"CAN","Toronto Argonauts","Toronto","Rogers Centre",53000,"1989","all-seater",43.6416641,-79.3891986579724,"43.6416641:-79.3891986579724","toronto-argonauts"
"CAN","Toronto Blue Jays","Toronto","Rogers Centre",50516,"1989","all-seater",0,0,"0:0","toronto-blue-jays"
"CAN","Toronto FC","Toronto","BMO Field",30991,"2007","all-seater",43.6332395,-79.4186927434407,"43.6332395:-79.4186927434407","toronto-fc"
